,game_id,game_name,score,tone,strategy based gameplay,game design,difficulty,skill based gameplay,enjoyment,luck based gameplay,world building,ignore,visuals,technical performance,innovative,playthrough time,value,narrative,multiplayer,sound track
210,210,Gamedec,72.28125,,,,,,,,0.0,0.0,,,,,,,,
211,211,Call of Duty: Vanguard,72.36666666666666,,0.0386,0.0,,0.010050000000000003,,,,0.0,,,,0.0,,0.0,,
212,212,Turnip Boy Commits Tax Evasion,72.07692307692308,,,,,,0.5106,,,0.20095,,,0.4019,,,0.0,,
213,213,Rogue Lords,71.57142857142857,,,,,,,,0.0,0.1591,,,,0.0,,,,
214,214,Mighty Goose,71.42857142857143,,,0.6249,,,0.3182,,,0.45699999999999996,,,,,,,,
215,215,Ninja Gaiden: Master Collection,72.0,,0.5106,0.7964,,-0.3818,0.5106,,,,,,,,,0.7906,,
216,216,Mutropolis,72.25,,,-0.34,,-0.2023,,,,-0.011,0.6908,,0.6486,,,,,
217,217,The Longest Road on Earth,71.42857142857143,,,0.0,,,,,0.34,,,,0.0,,,0.296,,
218,218,Operation: Tango,71.7,,,0.2121333333333333,,0.3182,,,,,,,,,,0.10606666666666666,,
219,219,Scarf,70.95,,,,,,,,,,,,0.0,0.4588,0.4588,0.0,,
220,220,Song of Iron,71.14285714285714,,,0.40505,,,,,,0.24972,,,,0.0,,,,
221,221,Naraka: Bladepoint,72.23809523809524,,0.5106,0.1531,,-0.5719,-0.030649999999999955,,,-0.24566666666666662,,,,0.0,,0.0772,,
222,222,Hoa,70.9,,,,,,,,,0.0,0.0,,,0.27115,,0.0,,
223,223,Breathedge,73.14285714285714,,,0.21075,,,,,,0.105375,,,,,,,,
224,224,White Shadows,70.55555555555556,,,0.7506,,,,,,0.0,,,,,,,,
225,225,Lake,71.80952380952381,,,0.5719,,,0.25,,,,,,,,,,,
226,226,Dice Legacy,70.9375,0.2263,,,,,0.4767,,,0.45175,0.4939,,,,,,,
227,227,Last Stop,70.51724137931035,,,0.3182,,,,,,0.042028571428571436,,,,0.1752,,,,
228,228,Maquette,69.6470588235294,,,,,,,,,0.15564999999999998,,,,0.2023,,,,
229,229,Boyfriend Dungeon,70.84615384615384,,,,,,0.8807,,,,0.8555,,,,,,,
230,230,Gods Will Fall,67.5,,,,,,0.4939,,,0.0,,,0.4939,,,,,
231,231,Aeterna Noctis,72.0,,,0.1531,,,,,,0.4721,0.6597,,0.8074,,,0.8074,,
232,232,New World,71.37142857142857,0.0,,0.5106,,,,,,,,,,,,,,
233,233,Blue Fire,69.06666666666666,,,0.0,,,,,,0.45363333333333333,,0.0,,0.0,,0.5574,,
234,234,This Is the President,69.75,,,,,,,,,0.1468,,0.0,,,,,,
235,235,NUTS,73.125,,,,,,0.3182,,,0.28512499999999996,,,0.4404,,,,,
236,236,Fatal Frame: Maiden of Black Water,69.22222222222223,,,0.0,,,,,0.0,0.0,,,,,,,,
237,237,Moncage,68.57142857142857,,,-0.34,,-0.34,,,,,,,0.0,0.3612,,0.4767,,
238,238,Sword of the Necromancer,70.08333333333333,,,,,-0.34,0.5106,,,0.5106,0.296,0.0,,,,,,
239,239,The Invisible Hand,69.0909090909091,,-0.765,,,,,,,-0.3825,,,,-0.872,,,,
240,240,Aliens: Fireteam Elite,68.05714285714286,,,0.0,,,,,,0.0,,,,,,,,
241,241,Out of Line,68.7,,,0.4901,,0.1531,0.5106,,,0.5994,,,,-0.34,,,,
242,242,Assassin's Creed Valhalla: The Siege of Paris,69.75,,,0.4404,,,0.34,,,,,,,,,,,
243,243,Lawn Mowing Simulator,68.57142857142857,,,,,,,,,,,,,,,,,
244,244,Monster Energy Supercross - The Official Videogame 4,70.0,,,,,,0.47669999999999996,,,0.0,,,,0.0,,,,
245,245,Spacebase Startopia,69.61538461538461,,,,,,,,,-0.1779,,,,,,,,
246,246,Nanotale - Typing Chronicles,70.14285714285714,,,0.5106,,,,,,0.36755,,,,,,,,
247,247,Demon Turf,70.625,0.8225,,0.5859,,,,,,0.0,,,,,,0.5859,,
248,248,King of Seas,67.5,,,0.6096,,,,,,,,,,,,,,
249,249,Conway: Disappearance at Dahlia View,69.5,,0.6369,,,0.3818,,,0.5859,0.3548,,,,0.0,,,,
250,250,Astria Ascending,69.95238095238095,0.3818,,,,0.3818,,,,0.3818,,,,,,,0.0,
251,251,Recompile,69.23529411764706,,,0.0,,0.5106,0.5106,,,0.5106,,,,0.0,,,,
252,252,Chronicle of Innsmouth: Mountains of Madness,67.5,,,0.2023,,,0.7269,,,0.19705,,,,,,,,
253,253,Battlefield 2042,67.97260273972603,,,,,,,,0.2263,,,,0.836,,,0.73645,,
254,254,Sniper Elite VR,69.1,,,-0.5106,,,0.3182,,,0.026549999999999997,,,,,,,,
255,255,Bright Memory: Infinite,67.71875,,,0.3182,,,,,,-0.26335,,,,-0.03394999999999998,,,,
256,256,Shattered - Tale of the Forgotten King,66.4,,,,,,,0.25,,0.09324,,,0.6808,-0.0772,,,,
257,257,Edge Of Eternity,68.625,,,0.4201,,,,,0.4767,,,,,,,-0.296,,
258,258,Disjunction,67.46666666666667,,,0.2294,,,,,,0.23478000000000004,,,0.0,0.0,0.2263,0.0,,
259,259,Alfred Hitchcock: Vertigo,67.25,,,,,,0.40605,,,,,,,,,-0.3832,,
260,260,Say No! More,70.26666666666667,,0.0,0.48355,,,0.7269,,0.2263,-0.007816666666666666,,,0.38835,0.0,,0.0,0.0,
261,261,Alex Kidd in Miracle World DX,67.2,,0.0,0.2732,0.2732,0.0,-0.3182,,,0.2732,,,,,,,,
262,262,The Gunk,66.9375,,,,,,,,,-0.2263,0.6908,0.0,,,,,,
263,263,Nerve,67.14285714285714,,,,,,,,,0.15746666666666667,,,,0.0,,0.0,,
264,264,Shadow Man: Remastered,66.07142857142857,,,,,,0.34,,,0.5139,,0.3182,,,,,,
265,265,Siege Survival: Gloria Victis,66.9090909090909,,,0.0,,,0.3182,,,0.3182,,,,-0.3612,,0.29295,,
266,266,City of Gangsters,69.0,,,,,,0.3182,,,0.6249,,0.37929999999999997,0.0,0.0,,0.4588,,
267,267,Into the Pit,66.66666666666667,,,0.0,,,0.3182,,,0.3058666666666667,,,0.1591,,,,,
268,268,Biomutant,67.63934426229508,,,0.0,,,0.4455,,,0.25915,,0.3182,0.3058666666666667,,,,,
269,269,WE ARE FOOTBALL,66.08333333333333,,,,,,,,,,,,,,,,,
270,270,Encodya,67.125,,,,,,0.3182,,0.0,0.20095,,,0.0,0.5859,,0.0,,
271,271,Maneater: Truth Quest,67.85714285714286,,,,,,,,,0.0,,,,,,0.5994,,
272,272,The Magnificent Trufflepigs,66.47368421052632,,,,,,0.4939,,,,,,,,,,,
273,273,JETT: The Far Shore,62.625,,,,,,,,,,,0.802,,,0.4588,,,
274,274,Immortals Fenyx Rising: Myths of the Eastern Realm,67.35714285714286,,,,,,,,0.6369,0.0,,0.4404,,,,0.482,,
275,275,Stronghold: Warlords,66.51851851851852,0.0,,0.5719,,,,,,,0.5267,,,,,,,
276,276,Zool Redimensioned,65.0,,,,,,0.2553,,,0.3635333333333333,0.7506,,0.3454,0.0,,0.0,,
277,277,Thunder Tier One,64.77777777777777,,,,,,,,,,,,,,,,,
278,278,Rustler,65.3076923076923,,,,,,,,,,,,,,,,,
279,279,Firegirl: Hack 'n Splash Rescue,65.2,,,0.0,,,0.7506,,,0.6249,,0.0,,,,0.3182,,
280,280,Redout: Space Assault,65.7,,,0.3363285714285714,,,0.3182,,-0.296,0.06943333333333333,,0.0,0.0,0.0,,,,
281,281,Aragami 2,66.35,,,0.46530000000000005,,,,,,-0.17,,,0.0,,,,,
282,282,Moonglow Bay,67.66666666666667,,,0.0,,,,,,,,0.5574,,,,,,
283,283,Warhammer Age of Sigmar: Storm Ground,67.23076923076923,,,0.6429499999999999,,,,,0.5423,,0.0,0.05103333333333334,0.50055,,,,,
284,284,Stonefly,65.83333333333333,,,,,,0.7096,,,-0.01639999999999997,,,,0.5106,,0.6705,0.3182,
285,285,King's Bounty II,64.4186046511628,,,0.0,,,,,,0.0,,,,,,,0.0,
